name,station,time,id,nedbor
Oslo - Blindern,SN18700,31.03.2011,454,0
Oslo - Blindern,SN18700,01.04.2011,455,"6,6"
Oslo - Blindern,SN18700,02.04.2011,456,"1,5"
Oslo - Blindern,SN18700,03.04.2011,457,"1,3"
Oslo - Blindern,SN18700,04.04.2011,458,0
Oslo - Blindern,SN18700,05.04.2011,459,"1,9"
Oslo - Blindern,SN18700,06.04.2011,460,8
Oslo - Blindern,SN18700,07.04.2011,461,"0,4"
Oslo - Blindern,SN18700,08.04.2011,462,0
Oslo - Blindern,SN18700,09.04.2011,463,0
Oslo - Blindern,SN18700,10.04.2011,464,0
Oslo - Blindern,SN18700,11.04.2011,465,0
Oslo - Blindern,SN18700,12.04.2011,466,"0,1"
Oslo - Blindern,SN18700,13.04.2011,467,"19,5"
Oslo - Blindern,SN18700,14.04.2011,468,"0,2"
Oslo - Blindern,SN18700,15.04.2011,469,"0,1"
Oslo - Blindern,SN18700,16.04.2011,470,0
Oslo - Blindern,SN18700,17.04.2011,471,0
Oslo - Blindern,SN18700,18.04.2011,472,0
Oslo - Blindern,SN18700,19.04.2011,473,0
Oslo - Blindern,SN18700,20.04.2011,474,0
Oslo - Blindern,SN18700,21.04.2011,475,0
Oslo - Blindern,SN18700,22.04.2011,476,0
Oslo - Blindern,SN18700,23.04.2011,477,0
Oslo - Blindern,SN18700,24.04.2011,478,0
Oslo - Blindern,SN18700,25.04.2011,479,0
Oslo - Blindern,SN18700,26.04.2011,480,0
Oslo - Blindern,SN18700,27.04.2011,481,0
Oslo - Blindern,SN18700,28.04.2011,482,0
Oslo - Blindern,SN18700,29.04.2011,483,0
Oslo - Blindern,SN18700,30.04.2011,484,0
Oslo - Blindern,SN18700,01.05.2011,485,0
Oslo - Blindern,SN18700,02.05.2011,486,0
Oslo - Blindern,SN18700,03.05.2011,487,0
Oslo - Blindern,SN18700,04.05.2011,488,0
Oslo - Blindern,SN18700,05.05.2011,489,0
Oslo - Blindern,SN18700,06.05.2011,490,"0,1"
Oslo - Blindern,SN18700,07.05.2011,491,"0,1"
Oslo - Blindern,SN18700,08.05.2011,492,0
